Player,Team,League,Version,OVR,POS,BIN,PAC,SHO,PAS,DRI,DEF,PHY,S/M,W/F,W/Rs,Foot,Stats 
Diego Chavez,Tiburones Rojos de Veracruz,MEX 1,bronze,62,ST,10K,57,60,61,62,48,70,2,3,M/M,Right,"1,650"
Sui Weijie,Chongqing Lifan,CHN 1,bronze-nr,62,GK,200,60,60,64,58,42,62,1,3,M/M,Right,869
Luo Xin,Beijing Renhe,CHN 1,bronze-nr,62,CB,8K,60,48,52,59,61,66,2,3,L/H,Left,"1,561"
Wu Qing,Chongqing Lifan,CHN 1,bronze,62,LM,500,38,60,65,63,54,59,3,4,H/M,Left,"1,623"
Fabian Ahumada,Palestino,CHL 1,bronze-nr,62,ST,750,70,59,55,64,30,62,3,2,M/M,Right,"1,488"
Nicolas Miracco,Central Cordoba,ARG 1,bronze,62,ST,2.3K,68,62,62,62,31,51,3,3,M/L,Right,"1,535"
David Salazar,O'Higgins,CHL 1,bronze-nr,62,ST,3.5K,68,60,46,66,28,56,2,4,M/M,Left,"1,432"
Savas Polat,Atiker Konyaspor,TUR 1,bronze-nr,62,RB,5K,76,30,37,58,63,54,2,2,M/M,Right,"1,434"
Kim Won Gun,FC Seoul,KOR 1,bronze-nr,62,CB,200,68,31,42,51,59,68,2,3,L/H,Right,"1,392"
Sebastian Ring,Grimsby Town,ENG 4,bronze-nr,62,LB,2.3K,69,33,60,62,59,67,2,2,M/M,Left,"1,575"
Lee Desmond,St. Patricks Athletic,IRL 1,bronze-nr,62,CB,200,53,44,55,59,61,68,2,3,H/H,Left,"1,556"
Benny Ashley-Seal,Wolverhampton Wanderers,ENG 1,bronze-nr,62,ST,10K,76,58,43,58,24,60,3,3,H/M,Right,"1,400"
Emil Nielsen,Lyngby BK,DEN 1,bronze-nr,62,LW,200,78,59,50,64,27,61,2,3,H/M,Left,"1,537"
Marvin Vallecilla,Atlético Bucaramanga,COL 1,bronze-nr,62,LB,2.1K,70,41,52,57,60,67,2,2,M/M,Right,"1,556"
Jesper Manns,Kalmar FF,SWE 1,bronze-nr,62,RB,1.7K,77,33,51,55,58,66,2,2,M/H,Right,"1,514"
Joackim Olsen Solberg,Mjondalen IF,NOR 1,bronze,62,LB,350,52,51,65,53,59,73,2,3,M/M,Left,"1,631"
Chris Stokes,Stevenage,ENG 4,bronze-nr,62,CB,10K,49,36,53,55,59,66,2,3,L/M,Left,"1,456"
Michael Maria,Adelaide United,AUS 1,bronze,62,LB,10K,76,48,59,69,55,54,3,2,H/M,Left,"1,612"
Mouhamadou Sarr,Bologna,ITA 1,bronze,62,GK,950,65,60,55,70,43,55,1,3,M/M,Right,770
Lachlan Jackson,Newcastle Jets,AUS 1,bronze,62,CB,300,57,25,37,42,60,75,2,3,M/M,Left,"1,270"
Hamad Al Juhayyim,Al Fayha,SAU 1,bronze-nr,62,ST,6.1K,66,61,56,62,38,66,2,4,M/M,Right,"1,601"
Dan Agyei,Oxford United,ENG 3,bronze-nr,62,ST,200,71,58,48,60,29,66,2,3,H/M,Left,"1,484"
Mandela Egbo,SV Darmstadt 98,GER 2,bronze-nr,62,RB,3.9K,73,40,57,63,55,66,2,3,M/M,Right,"1,557"
Richard Renteria,Deportivo Cali,COL 1,bronze-nr,62,CB,1K,59,23,32,38,61,70,2,2,L/M,Right,"1,268"
Omar Mohammed Muzayil,Al Fayha,SAU 1,bronze-nr,62,RWB,1.4K,76,37,52,59,58,66,2,2,M/M,Right,"1,542"
Francisco Sierralta,Udinese,ITA 1,bronze,62,RB,10K,54,30,46,51,66,71,2,3,M/H,Right,"1,371"
Elliott List,Gillingham,ENG 3,bronze,62,ST,,94,60,49,64,27,64,3,3,M/M,Right,"1,532"
Hassan Essa Jafry,Al Fayha,SAU 1,bronze-nr,62,CDM,200,64,38,57,58,60,69,2,3,M/M,Left,"1,529"
Santiago Ruiz,Envigado,COL 1,bronze-nr,62,CB,200,69,31,52,54,62,67,2,3,M/M,Left,"1,461"
Juan Mosquera,Envigado,COL 1,bronze-nr,62,CDM,10K,65,37,51,54,61,68,2,3,L/M,Right,"1,533"
Ali Lajami,Al Fateh,SAU 1,bronze,62,CB,3.2K,76,47,52,54,60,68,2,3,M/M,Right,"1,574"
Jeremy Delphin Broh Tonye,Cosenza,ITA 2,bronze-nr,62,CM,200,71,50,59,62,61,58,2,3,M/M,Right,"1,681"
Majed Al Najrani,Al Ettifaq,SAU 1,bronze-nr,62,RM,200,64,55,61,62,54,65,3,3,M/M,Left,"1,647"
Christopher Lindquist,Strømsgodset Toppfotball,NOR 1,bronze-nr,62,RB,1.4K,77,46,57,60,58,65,2,3,H/M,Right,"1,605"
George Edmundson,Rangers,SCO 1,bronze-nr,62,CB,200,55,26,37,41,63,70,2,3,M/M,Right,"1,316"
Jake McGing,Brisbane Roar,AUS 1,bronze-nr,62,RB,200,63,37,51,53,64,65,2,3,M/H,Right,"1,482"
Mike Hauptmeijer,PEC Zwolle,NED 1,bronze,62,GK,500,60,62,60,66,34,63,1,2,M/M,Right,727
Callum Slattery,Southampton,ENG 1,bronze-nr,62,CAM,800,60,58,57,61,43,64,2,3,M/M,Right,"1,517"
Jeysen Nunez,Cucuta Deportivo,COL 1,bronze-nr,62,LM,450,71,54,57,63,40,60,2,4,H/L,Left,"1,556"
Sebastian Musiolik,Rakow Czestochowa,POL 1,bronze,62,ST,200,73,59,42,58,24,58,3,3,M/M,Right,"1,380"
Ashley Baker,Sheffield Wednesday,ENG 2,bronze-nr,62,RB,1.9K,67,28,51,56,60,64,2,2,M/M,Right,"1,430"
Adrian Zendejas,Sporting KC,USA 1,bronze,62,GK,2K,66,58,59,64,37,60,1,3,M/M,Right,738
Mario Piccinocchi,Ascoli,ITA 2,bronze-nr,62,CDM,300,60,51,59,65,56,61,3,3,M/H,Right,"1,665"
Eryin Sanhueza,Audax Italiano,CHL 1,bronze-nr,62,GK,400,62,61,59,61,49,62,1,2,M/M,Right,832
Brandon Haunstrup,Portsmouth,ENG 3,bronze-nr,62,LB,700,75,27,54,61,58,62,2,2,H/H,Left,"1,484"
Eric Verstappen,Würzburger Kickers,GER 3,bronze,62,GK,450,62,59,61,61,37,61,1,2,M/M,Right,774
Diego Herazo,Independiente Medellín,COL 1,bronze,62,RM,10K,77,59,53,63,29,65,3,3,M/M,Right,"1,479"
Erik Wekesser,Jahn Regensburg,GER 2,bronze-nr,62,ST,700,69,61,42,56,28,70,2,3,M/M,Left,"1,444"
Kyle Knoyle,Cambridge United,ENG 4,bronze,62,RB,200,86,29,51,62,57,55,2,3,H/H,Right,"1,491"
Ibrahim Diallo,Eupen,BEL 1,bronze-nr,62,CB,3K,69,32,41,52,63,51,2,3,M/M,Right,"1,371"
Felix Schroter,SpVgg Unterhaching,GER 3,bronze-nr,62,ST,500,76,62,50,63,28,54,3,4,M/M,Left,"1,514"
Jordan Thompson,Blackpool,ENG 3,bronze-nr,62,CAM,3.2K,66,47,60,63,50,61,3,2,M/M,Left,"1,563"
Adam Frizzell,Kilmarnock,SCO 1,bronze,62,CAM,800,81,50,57,67,38,50,3,3,M/M,Left,"1,516"
Andrea D'Egidio,Pisa,ITA 2,bronze-nr,62,GK,350,62,60,50,64,38,62,1,3,M/M,Right,710
Marco Festa,Crotone,ITA 2,bronze-nr,62,GK,10K,65,62,58,61,46,59,1,3,M/M,Right,785
Ian Gonzalez,Atletico de San Luis,MEX 1,bronze-nr,62,ST,6.5K,49,59,47,58,33,62,2,2,M/L,Left,"1,372"
Zak Jules,Walsall,ENG 4,bronze-nr,62,CB,200,64,33,42,45,60,75,2,2,M/M,Left,"1,370"
Luca Zanon,Pordenone,ITA 2,bronze-nr,62,LB,200,67,37,51,55,60,63,2,4,H/M,Left,"1,497"
Chiedozie Ogbene,Rotherham United,ENG 3,bronze,62,LW,700,90,54,49,65,38,68,3,4,H/H,Right,"1,522"
Hugo Rama,CD Lugo,ESP 2,bronze-nr,62,CAM,250,59,52,61,62,45,47,3,3,M/M,Right,"1,491"
Joe Maguire,Accrington Stanley,ENG 3,bronze-nr,62,LB,300,74,40,53,58,59,59,2,2,M/M,Left,"1,551"
Jhon Velasquez,Independiente Santa Fe,COL 1,bronze-nr,62,RW,300,78,58,56,63,49,55,2,2,M/L,Right,"1,546"
Emmanuel Ntim,Valenciennes FC,FRA 2,bronze-nr,62,RB,250,76,25,51,53,62,65,2,2,M/M,Right,"1,445"
Junior Mondal,Forest Green Rovers,ENG 4,bronze-nr,62,RM,5K,81,59,55,63,32,62,3,3,H/M,Left,"1,572"
Shawn McCoulsky,Forest Green Rovers,ENG 4,bronze,62,ST,1.9K,89,58,37,59,20,68,2,3,M/M,Right,"1,435"
Abdulmohsen Fallatah,Al Ittihad,SAU 1,bronze-nr,62,CB,2.3K,60,30,37,42,61,67,2,3,L/M,Right,"1,302"
Trevor Clarke,Rotherham United,ENG 3,bronze,62,LB,3.7K,84,52,58,65,56,65,3,3,H/M,Left,"1,676"
George Miller,Scunthorpe United,ENG 4,bronze-nr,62,ST,10K,75,61,43,61,31,63,2,3,H/M,Right,"1,504"
Xu Xin,Guangzhou Evergrande Taobao,CHN 1,bronze,62,CDM,400,66,48,53,55,60,72,2,2,L/M,Right,"1,578"
Liao Junjian,Wuhan Zall,CHN 1,bronze-nr,62,RB,400,60,50,57,59,62,69,2,3,M/M,Right,"1,603"
Akseli Pelvas,HJK Helsinki,FIN 1,bronze-nr,62,ST,700,69,63,52,60,25,56,2,3,M/M,Left,"1,477"
Trent Buhagiar,Sydney FC,AUS 1,bronze,62,RW,200,91,54,50,63,23,61,3,4,H/H,Right,"1,481"
Krzysztof Drzazga,Wisła Kraków,POL 1,bronze,62,CAM,400,77,59,51,60,28,60,2,2,M/M,Right,"1,461"
Juan Victoria,Granada CF,ESP 1,bronze-nr,62,ST,,66,62,47,63,26,45,2,3,M/M,Right,"1,403"
Jaime Pinto,Rio Ave,POR 1,bronze-nr,62,RW,2.7K,68,62,53,66,28,52,3,3,M/M,Right,"1,471"
Wataru Hashimoto,Vissel Kobe,JPN 1,bronze-nr,62,LB,5.5K,67,39,62,63,55,65,2,2,M/H,Left,"1,557"
Usman Sale,Viking FK,NOR 1,bronze,62,RW,10K,86,56,55,62,48,71,2,3,H/H,Right,"1,633"
Kaan Kairinen,HJK Helsinki,FIN 1,bronze-nr,62,CM,10K,66,51,61,62,52,62,2,3,M/M,Left,"1,604"
Naoki Ishikawa,Hokkaido Consadole Sapporo,JPN 1,bronze-nr,62,LB,200,42,23,48,54,63,65,2,2,M/M,Left,"1,356"
Hiroshi Futami,Shimizu S-Pulse,JPN 1,bronze-nr,62,CB,6.2K,65,28,51,52,57,75,2,2,M/H,Left,"1,429"
Keiya Shiihashi,Vegalta Sendai,JPN 1,bronze-nr,62,CDM,200,66,36,54,57,58,68,2,3,M/H,Right,"1,525"
Shuaibu Ibrahim,FK Haugesund,NOR 1,bronze-nr,62,ST,10K,79,61,43,60,23,72,2,3,H/M,Right,"1,449"
Yuki Kobayashi,Oita Trinita,JPN 1,bronze,62,CM,200,50,36,56,57,58,73,2,3,M/M,Right,"1,491"
Luis Malagon,Monarcas Morelia,MEX 1,bronze-nr,62,GK,9.2K,63,60,63,64,25,64,1,2,M/M,Right,603
Muteb Al Mufarrij,Al Shabab,SAU 1,bronze-nr,62,CB,10K,56,26,38,44,63,62,2,3,L/M,Left,"1,259"
Ko Shimura,Júbilo Iwata,JPN 1,bronze,62,GK,200,67,62,55,59,24,64,1,3,M/M,Right,560
Nagisa Sakurauchi,Júbilo Iwata,JPN 1,bronze-nr,62,RM,250,69,42,58,65,54,70,3,3,M/M,Right,"1,610"
Park Jeong Su,Sagan Tosu,JPN 1,bronze-nr,62,CB,500,66,23,48,54,57,72,2,3,M/H,Right,"1,371"
Shingo Hyodo,Vegalta Sendai,JPN 1,bronze-nr,62,CM,200,66,55,63,62,48,66,2,3,M/M,Right,"1,655"
Yuzo Kobayashi,Sagan Tosu,JPN 1,bronze-nr,62,RB,200,46,27,49,55,63,67,2,3,M/M,Right,"1,415"
Kosuke Yamamoto,Júbilo Iwata,JPN 1,bronze,62,CM,200,70,48,62,66,54,69,3,3,M/M,Right,"1,634"
Francis Mac Allister,Argentinos Juniors,ARG 1,bronze,62,CM,4.9K,69,44,58,64,63,65,3,3,M/M,Right,"1,639"
Bueno,Kashima Antlers,JPN 1,bronze-nr,62,CB,3.7K,72,30,40,43,59,75,2,3,M/M,Right,"1,366"
Luke Bolton,Luton Town,ENG 2,bronze-nr,62,RM,10K,80,50,57,61,55,62,3,3,H/H,Right,"1,619"
Park Dong Jin,FC Seoul,KOR 1,bronze,62,ST,1.5K,73,54,47,58,63,77,2,3,M/H,Right,"1,620"
Lee Min Gi,Sangju Sangmu,KOR 1,bronze-nr,62,LB,10K,74,29,54,60,56,62,2,4,M/H,Left,"1,465"
Victor Cabezas,Deportivo Pasto,COL 1,bronze,62,GK,1.3K,64,61,58,66,30,58,1,2,M/M,Right,621
Darragh Leahy,Bohemians,IRL 1,bronze-nr,62,LB,3K,63,50,56,58,61,64,2,3,M/H,Left,"1,609"
Jordan Shipley,Coventry City,ENG 3,bronze,62,LM,10K,65,55,64,61,53,59,3,3,M/H,Left,"1,646"
Paul Kalambayi,AFC Wimbledon,ENG 3,bronze-nr,62,CB,200,69,22,41,44,59,73,2,2,M/M,Right,"1,298"
Song Si Woo,Sangju Sangmu,KOR 1,bronze-nr,62,ST,10K,75,60,60,65,37,52,3,2,M/L,Left,"1,584"
Luca Germoni,Juve Stabia,ITA 2,bronze-nr,62,LB,200,65,34,52,56,60,65,2,2,L/M,Left,"1,445"
Thijmen Nijhuis,FC Utrecht,NED 1,bronze,62,GK,1.2K,66,57,62,62,17,60,1,3,M/M,Right,604
Mamadou Doucoure,Borussia M.gladbach,GER 1,bronze-nr,62,CB,700,63,31,39,45,61,59,2,3,M/M,Left,"1,363"
Daniel Florea,Chindia Târgoviște,ROM 1,bronze,62,ST,200,66,65,57,63,31,42,3,3,M/L,Right,"1,564"
Leonardo Sernicola,Virtus Entella,ITA 2,bronze-nr,62,LB,10K,61,39,54,54,61,59,2,3,L/M,Right,"1,511"
Massimiliano Mangraviti,Brescia,ITA 1,bronze-nr,62,CB,10K,72,50,55,57,61,61,2,3,M/M,Right,"1,591"
Beryly Lubala,Crawley Town,ENG 4,bronze-nr,62,RM,200,74,58,56,62,34,60,3,3,M/M,Right,"1,512"
Steve Seddon,Birmingham City,ENG 2,bronze-nr,62,LWB,3.9K,75,40,50,59,57,59,2,2,M/M,Left,"1,531"
Neider Barona,La Equidad,COL 1,bronze-nr,62,LM,200,77,48,53,64,34,50,3,2,M/M,Right,"1,452"
Mads Bech Sorensen,Brentford,ENG 2,bronze-nr,62,CB,4.7K,54,32,48,54,62,69,2,3,H/M,Left,"1,402"
Andrew Carleton,Atlanta United FC,USA 1,bronze,62,LM,6.5K,69,60,60,69,35,48,3,4,M/M,Right,"1,601"
Kristian Dirks Riis,FC Midtjylland,DEN 1,bronze-nr,62,CB,300,70,40,47,53,58,69,2,3,H/M,Right,"1,480"
Marcel Holzmann,FC Botoșani,ROM 1,bronze-nr,62,LM,10K,73,41,54,65,46,72,3,3,M/M,Left,"1,580"
Enzo Guerrero,Palestino,CHL 1,bronze-nr,62,CB,6K,46,27,40,35,60,69,2,3,M/M,Right,"1,245"
Robin Ziegele,Eintracht Braunschweig,GER 3,bronze-nr,62,CB,200,56,28,37,44,60,67,2,3,M/M,Right,"1,323"
Jakub Arak,Lechia Gdańsk,POL 1,bronze-nr,62,ST,800,73,58,57,59,37,66,3,3,M/M,Right,"1,562"
Moritz Heinrich,SpVgg Unterhaching,GER 3,bronze-nr,62,LM,300,76,53,55,65,31,53,3,2,M/M,Right,"1,489"
Luigi Canotto,Juve Stabia,ITA 2,bronze-nr,62,RM,250,69,57,58,64,38,55,2,5,M/M,Right,"1,507"
Darnell Johnson,Leicester City,ENG 1,bronze,62,CB,,62,35,48,57,61,66,2,2,M/M,Right,"1,450"
Bryan Lozano,U.N.A.M.,MEX 1,bronze-nr,62,RW,,69,58,55,67,29,37,3,4,M/M,Left,"1,460"
Hassan Jamal Al Habib,Al Hazem,SAU 1,bronze,62,CM,1.2K,62,57,59,61,58,75,2,3,H/M,Right,"1,667"
Titas Krapikas,Spezia,ITA 2,bronze,62,GK,200,62,60,58,64,25,59,1,2,M/M,Right,610
Robert Jendrusch,Erzgebirge Aue,GER 2,bronze,62,GK,250,65,60,57,66,35,59,1,3,M/M,Right,677
Patrick Asmah,Atalanta,ITA 1,bronze,62,LB,,58,33,49,65,60,54,2,2,M/M,Left,"1,485"
Fabio Eguelfi,Frosinone,ITA 2,bronze-nr,62,LM,8.1K,62,43,59,66,59,55,3,2,H/M,Left,"1,565"
Javi Benitez,Real Sporting de Gijón,ESP 2,bronze-nr,62,GK,1.4K,64,59,58,65,47,61,1,2,M/M,Left,741
Vegard Leikvoll Moberg,FK Bodø/Glimt,NOR 1,bronze,62,CM,5K,62,54,56,57,60,81,2,3,H/H,Right,"1,644"
Diego Ferraresso,Cracovia Kraków,POL 1,bronze-nr,62,RB,200,64,25,53,64,61,66,2,3,M/M,Right,"1,486"
Abdulmalek Al Shammary,Al Shabab,SAU 1,bronze,62,LB,7.7K,76,48,57,64,54,65,3,2,M/M,Left,"1,574"
Rami Kaib,IF Elfsborg,SWE 1,bronze-nr,62,LB,200,77,45,62,63,55,55,2,2,M/M,Left,"1,613"
Rafa Mujica,Extremadura UD,ESP 2,bronze,62,ST,,61,65,50,61,32,62,2,3,M/M,Right,"1,517"
Mads Emil Madsen,Silkeborg IF,DEN 1,bronze-nr,62,CM,10K,55,48,57,61,58,67,2,3,M/M,Left,"1,573"
Luther James-Wildin,Stevenage,ENG 4,bronze,62,RB,600,77,48,54,61,56,77,2,3,H/M,Right,"1,620"
Andre Teles,Marítimo,POR 1,bronze-nr,62,CDM,2.3K,67,45,57,60,59,63,2,4,M/M,Right,"1,577"
Abdoulaye Sissako,Zulte Waregem,BEL 1,bronze-nr,62,CM,7K,71,53,58,63,61,72,2,3,M/M,Right,"1,685"
Silvan Sidler,FC Luzern,CHE 1,bronze-nr,62,LB,200,65,55,62,60,59,62,2,4,M/M,Right,"1,632"
Juan Carlos Kayser,Tiburones Rojos de Veracruz,MEX 1,bronze-nr,62,RM,7K,73,53,60,67,38,42,3,2,M/M,Right,"1,552"
Michael Woud,Willem II,NED 1,bronze,62,GK,8K,62,55,57,65,25,59,1,2,M/M,Right,597
Connor Johnson,Wolverhampton Wanderers,ENG 1,bronze-nr,62,CB,,64,31,43,53,60,69,2,3,M/M,Right,"1,403"
Harry Smith,Northampton Town,ENG 4,bronze,62,ST,450,63,60,47,60,30,74,2,3,M/M,Right,"1,505"
Cedric Zesiger,BSC Young Boys,CHE 1,bronze,62,CB,300,69,32,42,40,61,69,2,3,L/M,Right,"1,347"
Matthias Hamrol,FC Emmen,NED 1,bronze,62,GK,500,63,62,53,65,26,60,1,4,M/M,Left,559
Davis Keillor-Dunn,Ross County,SCO 1,bronze-nr,62,LM,,78,53,55,63,26,53,3,3,M/M,Left,"1,442"
Justin Mobius,Karlsruher SC,GER 2,bronze-nr,62,CAM,10K,69,57,56,66,29,52,3,5,H/M,Right,"1,495"
Julius Kade,1. FC Union Berlin,GER 1,bronze-nr,62,CAM,7.9K,67,52,59,66,61,36,3,2,M/M,Left,"1,553"
Yanick van Osch,PSV,NED 1,bronze,62,GK,,62,59,68,67,42,60,1,3,M/M,Right,763
Florian Baak,Hertha BSC,GER 1,bronze-nr,62,CB,1K,52,33,42,44,59,67,2,3,M/M,Right,"1,315"
Jorris Romil,Valenciennes FC,FRA 2,bronze-nr,62,LM,10K,72,61,54,64,22,58,3,3,M/L,Right,"1,487"
Patryk Klimala,Jagiellonia Białystok,POL 1,bronze-nr,62,ST,6.4K,81,58,42,61,28,55,2,3,M/M,Right,"1,427"
Ao Tanaka,Kawasaki Frontale,JPN 1,bronze-nr,62,CDM,200,71,47,61,65,57,63,2,3,M/M,Right,"1,673"
Stefan Cleveland,Chicago Fire,USA 1,bronze-nr,62,GK,450,63,59,60,65,55,60,1,2,M/M,Left,848
Leo Bengtsson,Hammarby IF,SWE 1,bronze-nr,62,LM,10K,82,51,53,62,36,54,2,3,M/M,Right,"1,507"
Alex Dobre,Bournemouth,ENG 1,bronze-nr,62,LM,8.8K,75,51,53,66,37,61,3,3,H/M,Right,"1,512"
Shogo Nakahara,Vegalta Sendai,JPN 1,bronze-nr,62,CM,200,71,52,61,62,46,59,2,3,M/M,Right,"1,528"
Ryotaro Meshino,Heart of Midlothian,SCO 1,bronze,62,ST,1K,59,63,53,67,21,55,3,3,M/M,Right,"1,478"
Dan Casey,Cork City,IRL 1,bronze-nr,62,CB,3K,53,35,40,46,59,72,2,3,L/M,Right,"1,362"
Charlie Owens,Queens Park Rangers,ENG 2,bronze-nr,62,CM,200,64,52,61,63,52,61,3,3,M/M,Right,"1,618"
Jeronimo Pourtau,Estudiantes de La Plata,ARG 1,bronze-nr,62,GK,200,64,62,57,65,17,60,1,3,M/M,Right,608
Michele Troiani,Chievo Verona,ITA 2,bronze-nr,62,LB,250,69,44,54,59,60,60,2,3,H/H,Left,"1,639"
Nicolas Roa,Deportivo Pasto,COL 1,bronze-nr,62,RB,1.7K,72,49,59,61,54,65,2,4,H/M,Right,"1,571"
Abdullah Al Joui,Al Taawoun,SAU 1,bronze-nr,62,RM,5K,77,51,58,63,24,43,3,3,M/M,Right,"1,457"
Tosin Kehinde,Randers FC,DEN 1,bronze-nr,62,LM,2.4K,75,50,59,64,39,62,3,3,H/H,Right,"1,584"
Matt Olosunde,Rotherham United,ENG 3,bronze-nr,62,RB,350,76,39,50,61,60,61,2,3,H/M,Right,"1,524"
Steve Ambri,Valenciennes FC,FRA 2,bronze-nr,62,ST,2.9K,82,61,52,64,24,56,3,3,M/M,Left,"1,499"
Lee Sang Min,Suwon Bluewings,KOR 1,bronze-nr,62,CDM,200,66,37,56,54,55,72,2,3,M/M,Right,"1,536"
Kota Fujimoto,Cerezo Osaka,JPN 1,bronze-nr,62,CB,6.3K,55,28,42,39,59,66,2,2,M/H,Right,"1,353"
Kunimitsu Sekiguchi,Vegalta Sendai,JPN 1,bronze-nr,62,LM,200,79,50,53,66,25,51,2,2,H/M,Right,"1,424"
Nahuel Arena,Godoy Cruz,ARG 1,bronze-nr,62,CB,3K,66,30,38,49,63,64,2,2,L/M,Right,"1,384"
Lewis Banks,Sligo Rovers,IRL 1,bronze-nr,62,LB,1K,72,36,53,59,60,65,2,3,M/H,Right,"1,547"
David Cancola,TSV Hartberg,AUT 1,bronze-nr,62,CDM,200,50,35,55,56,59,65,2,3,M/M,Right,"1,474"
Daichi Sugimoto,Yokohama F·Marinos,JPN 1,bronze,62,GK,1K,60,65,59,61,22,63,1,2,M/M,Right,597
Kaina Yoshio,Vegalta Sendai,JPN 1,bronze-nr,62,CAM,10K,75,52,60,64,44,50,2,3,M/M,Left,"1,560"
Jordy Delem,Seattle Sounders,USA 1,bronze-nr,62,CDM,1.2K,71,49,56,61,59,69,2,3,M/H,Right,"1,635"
Jair Diaz,Tigres U.A.N.L.,MEX 1,bronze-nr,62,LB,2.5K,65,30,52,59,62,62,2,3,M/H,Left,"1,460"
David Camacho,La Equidad,COL 1,bronze-nr,62,RM,200,67,55,57,62,42,58,3,2,M/M,Right,"1,501"
Liu Junshuai,Shandong Luneng Taishan,CHN 1,bronze-nr,62,CB,950,58,29,40,47,62,71,2,2,M/M,Right,"1,389"
Andres Amaya,Atlético Huila,COL 1,bronze-nr,62,RM,200,80,55,50,66,34,44,3,3,H/L,Right,"1,452"
Marcus Degerlund,Hammarby IF,SWE 1,bronze,62,CB,4K,63,23,48,43,61,69,2,3,M/M,Left,"1,313"
Alan Dzabana,Havre AC,FRA 2,bronze,62,ST,550,81,62,53,69,17,44,3,3,M/M,Right,"1,478"
Kim Dong Min,Incheon United,KOR 1,bronze-nr,62,LB,9.5K,68,35,49,60,59,57,2,3,M/M,Right,"1,485"
Jan Mlakar,Queens Park Rangers,ENG 2,bronze-nr,62,ST,10K,63,61,48,60,24,59,2,3,H/M,Right,"1,403"
Ahmed Ildiz,Yeni Malatyaspor,TUR 1,bronze-nr,62,CDM,10K,63,49,58,61,61,68,2,3,M/M,Right,"1,617"
David Buchholz,VfL Osnabrück,GER 2,bronze,62,GK,350,61,66,44,62,24,64,1,2,M/M,Right,631
Arvid Brorsson,Örebro SK,SWE 1,bronze-nr,62,CB,10K,55,20,39,43,61,68,2,2,M/M,Right,"1,269"
Jorgen Strand Larsen,Sarpsborg 08 FF,NOR 1,bronze,62,ST,500,59,59,43,60,27,69,3,3,M/M,Right,"1,399"
Leon Jensen,FSV Zwickau,GER 3,bronze,62,CAM,300,71,59,58,63,26,51,3,4,M/M,Right,"1,495"
Florian Dietz,SpVgg Unterhaching,GER 3,bronze-nr,62,ST,,74,58,41,58,25,69,2,3,M/M,Right,"1,407"
Maximilian Bauer,SpVgg Unterhaching,GER 3,bronze-nr,62,RB,1K,73,27,47,64,59,63,2,4,M/M,Right,"1,453"
Pedro Henrique,Chamois Niortais FC,FRA 2,bronze-nr,62,ST,800,68,60,59,61,44,63,2,3,H/M,Left,"1,638"
Josue Albert,Clermont Foot,FRA 2,bronze-nr,62,CB,800,59,26,37,41,61,68,2,3,L/H,Right,"1,277"
Thomas Hagn,SpVgg Unterhaching,GER 3,bronze,62,LM,6.5K,72,41,56,62,59,72,3,3,M/H,Left,"1,545"
Luke Leahy,Bristol Rovers,ENG 3,bronze-nr,62,LB,200,68,56,61,59,57,68,2,2,M/M,Left,"1,711"
Bernard Kyere,Viktoria Köln,GER 3,bronze,62,CB,300,69,38,41,45,56,80,2,3,M/M,Right,"1,416"
Andre Riel,Lyngby BK,DEN 1,bronze-nr,62,ST,200,78,59,48,63,23,60,3,4,H/M,Right,"1,449"
Afimico Pululu,FC Basel,CHE 1,bronze-nr,62,ST,500,82,59,47,66,23,61,3,3,H/M,Left,"1,495"
Ali Ibrahimaj,KFC Uerdingen 05,GER 3,bronze,62,RM,1.5K,75,57,53,67,28,63,3,4,M/M,Right,"1,513"
Chris Kablan,FC Thun,CHE 1,bronze-nr,62,LB,200,68,45,56,61,62,61,2,4,M/M,Right,"1,588"
Rahman Bugra Cagiran,Yeni Malatyaspor,TUR 1,bronze,62,LB,4.2K,48,41,59,58,65,59,2,3,L/M,Right,"1,535"
Maxime Biamou,Coventry City,ENG 3,bronze-nr,62,ST,1.2K,77,58,38,58,28,70,2,2,M/M,Right,"1,418"
Godfried Roemeratoe,FC Twente,NED 1,bronze-nr,62,CDM,2.5K,71,44,59,62,59,69,2,3,M/M,Right,"1,637"
Jeffrey de Lange,FC Twente,NED 1,bronze-nr,62,GK,650,62,60,61,63,25,60,1,4,M/M,Right,588
Denzel Jubitana,Waasland-Beveren,BEL 1,bronze,62,CAM,200,66,59,59,64,37,54,3,3,M/M,Left,"1,577"
Lukas Scherff,Hansa Rostock,GER 3,bronze-nr,62,LM,250,81,48,49,68,47,71,3,3,H/H,Left,"1,608"
Raul Damian Torres,Tigres U.A.N.L.,MEX 1,bronze-nr,62,CM,10K,63,43,58,63,61,64,2,3,M/H,Right,"1,604"
Jonah Osabutey,Mouscron,BEL 1,bronze,62,ST,4.6K,86,60,41,61,24,54,3,2,M/L,Right,"1,408"
Torben Musel,Borussia M.gladbach,GER 1,bronze-nr,62,ST,900,68,59,56,64,28,54,2,3,M/M,Right,"1,472"
Jannes Vollert,Hallescher FC,GER 3,bronze-nr,62,CB,500,56,41,55,57,59,68,2,3,M/M,Right,"1,535"
Francesco Corapi,Trapani,ITA 2,bronze-nr,62,CM,10K,75,51,61,63,56,58,2,4,M/M,Right,"1,660"
